tree_id,tree_name,dedication_type,dedication_year,dedication_honoree,dedication_desc,scientific_name,additional_taxonomy,height_class,diameter_breast_height,age_class,canopy_radius,condition
1,Chestnut Oak,Memorial,2005,Eleanor J. Moore,In ground marker,Quercus prinus,,Large,19 in.,Mature,15 ft.,Good
2,Canadian Hemlock,N/A,,,,Tsuga canadensis,,Medium,3 in.,Young,6 ft.,Good
3,Northern Catalpa,N/A,,,,Catalpa speciosa,,Large,29 in.,Mature,15 ft.,Good
4,European Beech,Memorial,,Miriam Bonifield Jones,In ground marker,Fagus sylvatica,Rohanii,Medium,20 in.,Semi-mature,0 ft.,Good
5,Cucumbertree,N/A,,,,Magnolia acuminata,MAAC Magnolia accuminata,Medium,5 in.,Semi-mature,6 ft.,Fair
6,Hardy Rubber Tree,N/A,,,,Eucommia ulmoides,,Medium,13 in.,Semi-mature,10 ft.,Good
8,Black Walnut,N/A,,,,Juglans nigra,,Large,18 in.,Mature,15 ft.,Good
9,European Beech,N/A,,,,Fagus sylvatica,FASY Fagus sylvatica,Small,3 in.,Young,6 ft.,Good
10,Tuliptree,N/A,,,,Liriodendron tulipifera,Aureomarginatum,Small,1 in.,New planting,1 ft.,Good
11,Littleleaf Linden,N/A,,,,Tilia cordata,,Large,13 in.,Semi-mature,10 ft.,Good
14,Cucumbertree,N/A,,,,Magnolia acuminata,MAAC Magnolia accuminata,Large,15 in.,Mature,15 ft.,Good
16,Common Honeylocust,N/A,,,,Gleditsia triacanthos,,Large,24 in.,Mature,15 ft.,Good
17,Common Honeylocust,N/A,,,,Gleditsia triacanthos,,Large,18 in.,Mature,15 ft.,Good
18,Common Honeylocust,N/A,,,,Gleditsia triacanthos,,Large,18 in.,Mature,15 ft.,Good
19,American Elm,N/A,,,,Ulmus americana,,Large,28 in.,Mature,20 ft.,Fair
20,Hackberry,N/A,,,,Celtis occidentalis,,Large,27 in.,Mature,20 ft.,Good
21,American Elm,N/A,,,,Ulmus americana,,Large,28 in.,Mature,30 ft.,Good
22,American Elm,N/A,,,,Ulmus americana,,Large,29 in.,Mature,30 ft.,Good
23,American Elm,N/A,,,,Ulmus americana,,Large,27 in.,Mature,25 ft.,Good
24,Black Walnut,N/A,,,,Juglans nigra,,Large,36 in.,Mature,25 ft.,Good
25,Cucumbertree,N/A,,,,Magnolia acuminata,MAAC Magnolia accuminata,Large,12 in.,Mature,10 ft.,Fair
26,Cucumbertree,N/A,,,,Magnolia acuminata,MAAC Magnolia accuminata,Large,12 in.,Mature,10 ft.,Poor
27,Cucumbertree,N/A,,,,Magnolia acuminata,MAAC Magnolia accuminata,Large,9 in.,Mature,10 ft.,Fair
28,Colorado Blue Spruce,N/A,,,,Picea pungens,Girardi,Small,1 in.,Mature,1 ft.,Fair
29,European Beech,N/A,,,,Fagus sylvatica,FASY Fagus sylvatica,Medium,5 in.,Young,6 ft.,Good
30,Three Flower Maple,N/A,,,,Acer triflorum,,Small,3 in.,Mature,6 ft.,Good
31,Star Magnolia,N/A,,,,Magnolia stellata,,Medium,6 in.,Mature,10 ft.,Fair
32,Canadian Hemlock,N/A,,,,Tsuga canadensis,,Small,3 in.,Young,6 ft.,Fair
33,White Oak,To honor,1986,Edwin H. Sprandel,In ground marker,Quercus alba,,Large,16 in.,Semi-mature,10 ft.,Good
34,Ginkgo,To honor,2017,Dr. Eugene Losey,,Ginkgo biloba,,Large,14 in.,Semi-mature,10 ft.,Fair
35,American Elm,N/A,,,,Ulmus americana,,Large,33 in.,Mature,20 ft.,Fair
38,Dawn Redwood,To honor,1991,Herbert M. Licht,In ground marker,Metasequoia glyptostroboides,,Large,27 in.,Semi-mature,15 ft.,Good
39,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,10 in.,Mature,10 ft.,Good
40,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,8 in.,Mature,10 ft.,Good
41,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,9 in.,Mature,10 ft.,Good
42,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,7 in.,Mature,10 ft.,Good
43,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,7 in.,Mature,10 ft.,Good
44,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,7 in.,Mature,10 ft.,Good
45,Loebner Magnolia,N/A,,,,Magnolia x loebneri,,Medium,9 in.,Mature,10 ft.,Good
46,Chinese Catalpa,N/A,,,,Catalpa ovata,,Small,3 in.,Young,10 ft.,Good
47,Chestnut Oak,To honor,2008,Dr. David S. Lindberg,In ground marker,Quercus prinus,,Large,18 in.,Mature,15 ft.,Good
48,American Beech,Memorial,1992,Theodore B. Holliday,In ground marker,Fagus grandifolia,,Large,14 in.,Semi-mature,15 ft.,Good
